"id","name","group","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"21983","постепенно","ПРИЛАГАТЕЛЬНОЕ","1","0","0","0","0","0","0","0"
"21984","треск","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","4","0","0","0","0"
"21985","сокровенны","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","1","0","1","0"
"21986","погубила","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"21987","вознаграждения","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"21988","продлится","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"21989","вылезли","ГЛАГОЛ","2","0","0","0","0","0","0","0"
"21990","свойственна","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","1"
"21991","помнила","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"21992","области","СУЩЕСТВИТЕЛЬНОЕ","0","2","13","1","0","14","3","1"
"22164","родят","ГЛАГОЛ","0","1","0","0","1","0","0","0"
"21993","преследует","ГЛАГОЛ","2","1","0","5","0","0","0","0"
"21994","полевую","ПРИЛАГАТЕЛЬНОЕ","4","0","0","0","0","0","1","0"
"21995","поворачивает","ГЛАГОЛ","0","10","0","1","0","0","0","0"
"21997","нескольких","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"21998","восстало","ГЛАГОЛ","0","1","0","0","0","1","0","0"
"21999","пророков","СУЩЕСТВИТЕЛЬНОЕ","0","23","22","3","29","16","32","10"
"22000","возмутилась","ГЛАГОЛ","0","0","0","0","0","0","1","0"
"22001","сироту","СУЩЕСТВИТЕЛЬНОЕ","0","2","2","3","1","3","0","0"
"22002","вывел","ГЛАГОЛ","37","40","16","10","20","21","9","2"
"22003","плоды","СУЩЕСТВИТЕЛЬНОЕ","8","6","2","14","14","11","7","2"
"22004","бесплодною","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","2","0","0","0"
"22005","голодного","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","1","0","1","0"
"22006","суете","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","2","0","0","0","1"
"22007","направлению","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"22008","поймал","ГЛАГОЛ","0","1","0","0","0","3","0","0"
"22009","готовили","ГЛАГОЛ","0","0","2","0","0","0","0","0"
"22010","судороги","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"22011","настроило","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"22012","торгу","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"22013","грядущее","ПРИЛАГАТЕЛЬНОЕ","0","0","1","1","0","0","1","0"
"22014","принуждением","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","1"
"22015","небольшие","ПРИЛАГАТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"22016","восстановили","ГЛАГОЛ","0","0","1","0","1","1","0","0"
"22017","родился","ГЛАГОЛ","5","3","2","5","5","4","11","2"
"22018","разрешить","ИНФИНИТИВ","0","0","0","2","0","0","0","1"
"22019","стоявшими","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"22020","пришла","ГЛАГОЛ","2","22","7","3","2","3","8","2"
"22021","трапеза","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","0","3","0","2"
"22022","некому","МЕСТОИМ_СУЩ","2","5","3","1","10","4","2","0"
"22023","утверждении","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"22024","водитесь","ГЛАГОЛ","0","0","0","0","0","0","0","1"
"22025","палка","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","2","0","0","0"
"22026","повинуйтесь","ГЛАГОЛ","0","0","0","0","0","0","0","9"
"22027","направо","НАРЕЧИЕ","4","16","3","1","2","2","0","0"
"22028","имевшее","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","2","0","0"
"22029","ранний","ПРИЛАГАТЕЛЬНОЕ","0","1","0","0","1","1","0","1"
"22030","богатством","СУЩЕСТВИТЕЛЬНОЕ","0","5","3","2","2","5","3","1"
"22031","нитка","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
