"id","group","name","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"21983","ПРИЛАГАТЕЛЬНОЕ","постепенно","1","0","0","0","0","0","0","0"
"21984","СУЩЕСТВИТЕЛЬНОЕ","треск","0","0","0","4","0","0","0","0"
"21985","ПРИЛАГАТЕЛЬНОЕ","сокровенны","0","0","0","0","1","0","1","0"
"21986","ГЛАГОЛ","погубила","0","0","1","0","0","0","0","0"
"21987","СУЩЕСТВИТЕЛЬНОЕ","вознаграждения","0","0","0","0","0","1","0","0"
"21988","ГЛАГОЛ","продлится","0","0","1","0","0","0","0","0"
"21989","ГЛАГОЛ","вылезли","2","0","0","0","0","0","0","0"
"21990","ПРИЛАГАТЕЛЬНОЕ","свойственна","0","0","0","1","0","0","0","1"
"21991","ГЛАГОЛ","помнила","0","0","0","0","0","1","0","0"
"21992","СУЩЕСТВИТЕЛЬНОЕ","области","0","2","13","1","0","14","3","1"
"22164","ГЛАГОЛ","родят","0","1","0","0","1","0","0","0"
"21993","ГЛАГОЛ","преследует","2","1","0","5","0","0","0","0"
"21994","ПРИЛАГАТЕЛЬНОЕ","полевую","4","0","0","0","0","0","1","0"
"21995","ГЛАГОЛ","поворачивает","0","10","0","1","0","0","0","0"
"21997","ПРИЛАГАТЕЛЬНОЕ","нескольких","0","0","1","0","0","0","0","0"
"21998","ГЛАГОЛ","восстало","0","1","0","0","0","1","0","0"
"21999","СУЩЕСТВИТЕЛЬНОЕ","пророков","0","23","22","3","29","16","32","10"
"22000","ГЛАГОЛ","возмутилась","0","0","0","0","0","0","1","0"
"22001","СУЩЕСТВИТЕЛЬНОЕ","сироту","0","2","2","3","1","3","0","0"
"22002","ГЛАГОЛ","вывел","37","40","16","10","20","21","9","2"
"22003","СУЩЕСТВИТЕЛЬНОЕ","плоды","8","6","2","14","14","11","7","2"
"22004","ПРИЛАГАТЕЛЬНОЕ","бесплодною","0","0","0","0","2","0","0","0"
"22005","ПРИЛАГАТЕЛЬНОЕ","голодного","0","0","0","0","1","0","1","0"
"22006","СУЩЕСТВИТЕЛЬНОЕ","суете","0","0","1","2","0","0","0","1"
"22007","СУЩЕСТВИТЕЛЬНОЕ","направлению","0","0","0","0","1","0","0","0"
"22008","ГЛАГОЛ","поймал","0","1","0","0","0","3","0","0"
"22009","ГЛАГОЛ","готовили","0","0","2","0","0","0","0","0"
"22010","СУЩЕСТВИТЕЛЬНОЕ","судороги","0","0","0","0","1","0","0","0"
"22011","ГЛАГОЛ","настроило","0","0","1","0","0","0","0","0"
"22012","СУЩЕСТВИТЕЛЬНОЕ","торгу","0","0","0","0","0","0","0","1"
"22013","ПРИЛАГАТЕЛЬНОЕ","грядущее","0","0","1","1","0","0","1","0"
"22014","СУЩЕСТВИТЕЛЬНОЕ","принуждением","0","0","0","0","0","1","0","1"
"22015","ПРИЛАГАТЕЛЬНОЕ","небольшие","0","1","0","0","0","0","0","0"
"22016","ГЛАГОЛ","восстановили","0","0","1","0","1","1","0","0"
"22017","ГЛАГОЛ","родился","5","3","2","5","5","4","11","2"
"22019","ПРИЛАГАТЕЛЬНОЕ","стоявшими","0","0","1","0","0","0","0","0"
"22020","ГЛАГОЛ","пришла","2","22","7","3","2","3","8","2"
"22021","СУЩЕСТВИТЕЛЬНОЕ","трапеза","0","0","0","1","0","3","0","2"
"22023","СУЩЕСТВИТЕЛЬНОЕ","утверждении","0","0","0","0","0","0","0","1"
"22024","ГЛАГОЛ","водитесь","0","0","0","0","0","0","0","1"
"22025","СУЩЕСТВИТЕЛЬНОЕ","палка","0","0","0","1","2","0","0","0"
"22026","ГЛАГОЛ","повинуйтесь","0","0","0","0","0","0","0","9"
"22028","ПРИЛАГАТЕЛЬНОЕ","имевшее","0","0","0","0","0","2","0","0"
"22029","ПРИЛАГАТЕЛЬНОЕ","ранний","0","1","0","0","1","1","0","1"
"22030","СУЩЕСТВИТЕЛЬНОЕ","богатством","0","5","3","2","2","5","3","1"
"22031","СУЩЕСТВИТЕЛЬНОЕ","нитка","0","0","0","1","0","0","0","0"
